,Date,Close
0,2020-01-02,12.47
1,2020-01-03,14.02
2,2020-01-06,13.85
3,2020-01-07,13.79
4,2020-01-08,13.45
5,2020-01-09,12.54
6,2020-01-10,12.56
7,2020-01-13,12.32
8,2020-01-14,12.39
9,2020-01-15,12.42
10,2020-01-16,12.32
11,2020-01-17,12.1
12,2020-01-21,12.85
13,2020-01-22,12.91
14,2020-01-23,12.98
15,2020-01-24,14.56
16,2020-01-27,18.23
17,2020-01-28,16.28
18,2020-01-29,16.39
19,2020-01-30,15.49
20,2020-01-31,18.84
21,2020-02-03,17.97
22,2020-02-04,16.05
23,2020-02-05,15.15
24,2020-02-06,14.96
25,2020-02-07,15.47
26,2020-02-10,15.04
27,2020-02-11,15.18
28,2020-02-12,13.74
29,2020-02-13,14.15
30,2020-02-14,13.68
31,2020-02-18,14.83
32,2020-02-19,14.38
33,2020-02-20,15.56
34,2020-02-21,17.08
35,2020-02-24,25.03
36,2020-02-25,27.85
37,2020-02-26,27.56
38,2020-02-27,39.16
39,2020-02-28,40.11
40,2020-03-02,33.42
41,2020-03-03,36.82
42,2020-03-04,31.99
43,2020-03-05,39.62
44,2020-03-06,41.94
45,2020-03-09,54.46
46,2020-03-10,47.3
47,2020-03-11,53.9
48,2020-03-12,75.47
49,2020-03-13,57.83
50,2020-03-16,82.69
51,2020-03-17,75.91
52,2020-03-18,76.45
53,2020-03-19,72.0
54,2020-03-20,66.04
55,2020-03-23,61.59
56,2020-03-24,61.67
57,2020-03-25,63.95
58,2020-03-26,61.0
59,2020-03-27,65.54
60,2020-03-30,57.08
61,2020-03-31,53.54
62,2020-04-01,57.06
63,2020-04-02,50.91
64,2020-04-03,46.8
65,2020-04-06,45.24
66,2020-04-07,46.7
67,2020-04-08,43.35
68,2020-04-09,41.67
69,2020-04-13,41.17
70,2020-04-14,37.76
71,2020-04-15,40.84
72,2020-04-16,40.11
73,2020-04-17,38.15
74,2020-04-20,43.83
75,2020-04-21,45.41
76,2020-04-22,41.98
77,2020-04-23,41.38
78,2020-04-24,35.93
79,2020-04-27,33.29
80,2020-04-28,33.57
81,2020-04-29,31.23
82,2020-04-30,34.15
83,2020-05-01,37.19
84,2020-05-04,35.97
85,2020-05-05,33.61
86,2020-05-06,34.12
87,2020-05-07,31.44
88,2020-05-08,27.98
89,2020-05-11,27.57
90,2020-05-12,33.04
91,2020-05-13,35.28
92,2020-05-14,32.61
93,2020-05-15,31.89
94,2020-05-18,29.3
95,2020-05-19,30.53
96,2020-05-20,27.99
97,2020-05-21,29.53
98,2020-05-22,28.16
99,2020-05-26,28.01
100,2020-05-27,27.62
101,2020-05-28,28.59
102,2020-05-29,27.51
103,2020-06-01,28.23
104,2020-06-02,26.84
105,2020-06-03,25.66
106,2020-06-04,25.81
107,2020-06-05,24.52
108,2020-06-08,25.81
109,2020-06-09,27.57
110,2020-06-10,27.57
111,2020-06-11,40.79
112,2020-06-12,36.09
113,2020-06-15,34.4
114,2020-06-16,33.67
115,2020-06-17,33.47
116,2020-06-18,32.94
117,2020-06-19,35.12
118,2020-06-22,31.77
119,2020-06-23,31.37
120,2020-06-24,33.84
121,2020-06-25,32.22
122,2020-06-26,34.73
123,2020-06-29,31.78
124,2020-06-30,30.43
125,2020-07-01,28.62
126,2020-07-02,27.68
127,2020-07-06,27.94
128,2020-07-07,29.43
129,2020-07-08,28.08
130,2020-07-09,29.26
131,2020-07-10,27.29
132,2020-07-13,32.19
133,2020-07-14,29.52
134,2020-07-15,27.76
135,2020-07-16,28.0
136,2020-07-17,25.68
137,2020-07-20,24.46
138,2020-07-21,24.84
139,2020-07-22,24.32
140,2020-07-23,26.08
141,2020-07-24,25.84
142,2020-07-27,24.74
143,2020-07-28,25.44
144,2020-07-29,24.1
145,2020-07-30,24.76
146,2020-07-31,24.46
147,2020-08-03,24.28
148,2020-08-04,23.76
149,2020-08-05,22.99
150,2020-08-06,22.65
151,2020-08-07,22.21
152,2020-08-10,22.13
153,2020-08-11,24.03
154,2020-08-12,22.28
155,2020-08-13,22.13
156,2020-08-14,22.05
157,2020-08-17,21.35
158,2020-08-18,21.51
159,2020-08-19,22.54
160,2020-08-20,22.72
161,2020-08-21,22.54
162,2020-08-24,22.37
163,2020-08-25,22.03
164,2020-08-26,23.27
165,2020-08-27,24.47
166,2020-08-28,22.96
167,2020-08-31,26.41
168,2020-09-01,26.12
169,2020-09-02,26.57
170,2020-09-03,33.6
171,2020-09-04,30.75
172,2020-09-08,31.46
173,2020-09-09,28.81
174,2020-09-10,29.71
175,2020-09-11,26.87
176,2020-09-14,25.85
177,2020-09-15,25.59
178,2020-09-16,26.04
179,2020-09-17,26.46
180,2020-09-18,25.83
181,2020-09-21,27.78
182,2020-09-22,26.86
183,2020-09-23,28.58
184,2020-09-24,28.51
185,2020-09-25,26.38
186,2020-09-28,26.19
187,2020-09-29,26.27
188,2020-09-30,26.37
189,2020-10-01,26.7
190,2020-10-02,27.63
191,2020-10-05,27.96
192,2020-10-06,29.48
193,2020-10-07,28.06
194,2020-10-08,26.36
195,2020-10-09,25.0
196,2020-10-12,25.07
197,2020-10-13,26.07
198,2020-10-14,26.4
199,2020-10-15,26.97
200,2020-10-16,27.41
201,2020-10-19,29.18
202,2020-10-20,29.35
203,2020-10-21,28.65
204,2020-10-22,28.11
205,2020-10-23,27.55
206,2020-10-26,32.46
207,2020-10-27,33.35
208,2020-10-28,40.28
209,2020-10-29,37.59
210,2020-10-30,38.02
211,2020-11-02,37.13
212,2020-11-03,35.55
213,2020-11-04,29.57
214,2020-11-05,27.58
215,2020-11-06,24.86
216,2020-11-09,25.75
217,2020-11-10,24.8
218,2020-11-11,23.45
219,2020-11-12,25.35
220,2020-11-13,23.1
221,2020-11-16,22.45
222,2020-11-17,22.71
223,2020-11-18,23.84
224,2020-11-19,23.11
225,2020-11-20,23.7
226,2020-11-23,22.66
227,2020-11-24,21.64
228,2020-11-25,21.25
229,2020-11-27,20.84
230,2020-11-30,20.57
231,2020-12-01,20.77
232,2020-12-02,21.17
233,2020-12-03,21.28
234,2020-12-04,20.79
235,2020-12-07,21.3
236,2020-12-08,20.68
237,2020-12-09,22.27
238,2020-12-10,22.52
239,2020-12-11,23.31
240,2020-12-14,24.72
241,2020-12-15,22.89
242,2020-12-16,22.5
243,2020-12-17,21.93
244,2020-12-18,21.57
245,2020-12-21,25.16
246,2020-12-22,24.23
247,2020-12-23,23.31
248,2020-12-24,21.53
249,2020-12-28,21.7
250,2020-12-29,23.08
251,2020-12-30,22.77
252,2020-12-31,22.75
253,2021-01-04,26.97
254,2021-01-05,25.34
255,2021-01-06,25.07
256,2021-01-07,22.37
257,2021-01-08,21.56
258,2021-01-11,24.08
259,2021-01-12,23.33
260,2021-01-13,22.21
261,2021-01-14,23.25
262,2021-01-15,24.34
263,2021-01-19,23.24
264,2021-01-20,21.58
265,2021-01-21,21.32
266,2021-01-22,21.91
267,2021-01-25,23.19
268,2021-01-26,23.02
269,2021-01-27,37.21
270,2021-01-28,30.21
271,2021-01-29,33.09
272,2021-02-01,30.24
273,2021-02-02,25.56
274,2021-02-03,22.91
275,2021-02-04,21.77
276,2021-02-05,20.87
277,2021-02-08,21.24
278,2021-02-09,21.63
279,2021-02-10,21.99
280,2021-02-11,21.25
281,2021-02-12,19.97
282,2021-02-16,21.46
283,2021-02-17,21.5
284,2021-02-18,22.49
285,2021-02-19,22.05
286,2021-02-22,23.45
287,2021-02-23,23.11
288,2021-02-24,21.34
289,2021-02-25,28.89
290,2021-02-26,27.95
291,2021-03-01,23.35
292,2021-03-02,24.1
293,2021-03-03,26.67
294,2021-03-04,28.57
295,2021-03-05,24.66
296,2021-03-08,25.47
297,2021-03-09,24.03
298,2021-03-10,22.56
299,2021-03-11,21.91
300,2021-03-12,20.69
301,2021-03-15,20.03
302,2021-03-16,19.79
303,2021-03-17,19.23
304,2021-03-18,21.58
305,2021-03-19,20.95
306,2021-03-22,18.88
307,2021-03-23,20.3
308,2021-03-24,21.2
309,2021-03-25,19.81
310,2021-03-26,18.86
